# lattitude, longitude, altitude meters, cumulative distance meters
-12.45668,130.83705,28.0939789,0
-12.45465,130.83909,24.4348488,316.249484303
-12.4532,130.84058,21.3820381,544.655603865
-12.45286,130.84081,22.2975426,589.96530859
-12.45236,130.84093,24.8354301,647.069028419
-12.44551,130.84095,27.8888531,1408.75737112
-12.4449,130.84099,27.2019348,1476.7252102
-12.44217,130.84136,24.8214073,1782.93440388
-12.44188,130.84129,24.5604134,1816.06478265
-12.44086,130.84087,25.6844234,1938.30908454
-12.4404,130.84086,26.3543472,1989.4703147
-12.43819,130.84119,26.1307735,2237.80985839
-12.43784,130.84129,27.2397594,2278.21472718
-12.43761,130.84146,27.3301888,2309.75568517
-12.43564,130.84404,25.9694462,2665.3809418
-12.43388,130.84709,26.5236397,3050.07006195
-12.43041,130.85465,27.8098412,3957.14815006
-12.42979,130.85589,24.7889633,4108.42068846
-12.42678,130.86255,17.0762882,4905.31845451
-12.42658,130.86327,17.9314632,4986.60452699
-12.42645,130.8643,18.3573799,5099.38242663
-12.42628,130.86506,19.918087,5184.04805453
-12.42564,130.86672,22.3248634,5377.8468335
-12.42544,130.86746,24.4509773,5461.22424199
-12.42531,130.86823,27.0091171,5546.0792467
-12.42517,130.8753,31.0,6313.97170722
-12.42509,130.88345,32.3582764,7199.02914319
-12.42652,130.90247,33.306694,9270.52724989
-12.42671,130.90403,35.8663979,9441.23984357
-12.42698,130.9055,35.7437363,9603.66564893
-12.42736,130.90703,35.3452225,9775.09677024
-12.42802,130.90901,38.1033974,10002.2838015
-12.42951,130.91291,40.6267319,10457.0362757
-12.43425,130.9257,39.1152191,11942.5206181
-12.43594,130.93006,39.6120071,12451.8887028
-12.4433,130.94998,36.8013382,14764.5386576
-12.44422,130.95204,34.7871742,15010.5022375
-12.44496,130.95325,36.2065201,15165.52687
-12.44562,130.95418,35.9622231,15290.3592784
-12.45087,130.96084,33.2026367,16219.7327851
-12.46001,130.97207,35.7170982,17807.0807035
-12.4615,130.97357,34.0216179,18039.4048548
-12.46264,130.9745,32.4015617,18201.4683344
-12.46554,130.97646,33.0,18587.8231448
-12.46668,130.97735,33.2792664,18747.2159478
-12.46732,130.9779,32.5491257,18840.1154608
-12.46809,130.97884,34.9376259,18973.3322485
-12.46845,130.97947,34.3212013,19052.585427
-12.46877,130.98035,33.9639473,19154.5397935
-12.47131,130.9922,43.0463524,20471.7508254
-12.47196,130.99407,43.4914131,20687.2600785
-12.47269,130.99554,45.4664001,20866.3153492
-12.47325,130.99644,46.0261345,20982.1832484
-12.47397,130.99746,46.2217598,21118.8337969
-12.47474,130.99838,45.6176338,21250.3924734
-12.48132,131.00464,35.5995331,22249.0105697
-12.48205,131.00547,31.8502331,22370.2905893
-12.48383,131.00771,25.8468933,22683.8440435
-12.48423,131.00812,26.6704216,22746.7694622
-12.48503,131.00885,31.1613369,22865.9087979
-12.48608,131.00961,37.1467438,23008.8755571
-12.4869,131.01009,37.4719086,23113.896183
-12.48793,131.01056,40.7369118,23239.2791543
-12.48916,131.01096,41.8422813,23382.7773979
-12.49325,131.01184,43.5041466,23847.4906853
-12.49437,131.01223,44.443428,23979.0292534
-12.49517,131.01258,43.6494751,24075.7603095
-12.50867,131.02033,37.8000374,25796.582024
-12.51022,131.02125,31.5549431,25995.7789709
-12.51106,131.02185,26.4124222,26109.6496957
-12.51217,131.02287,25.0195541,26275.463373
-12.51281,131.0236,22.6519337,26381.9720195
-12.51342,131.02444,19.3702259,26495.6182951
-12.5141,131.0256,20.5902061,26642.4977751
-12.51442,131.0263,21.9128628,26726.4033939
-12.51477,131.02726,25.5005779,26837.6442723
-12.51555,131.03008,36.5883598,27155.8127958
-12.51595,131.03131,38.9483261,27296.5458178
